0,Strasse
03.05.2021,"AM STADTGARTEN, BAHNHOFPLATZ, BAHNHOFSTRAßE, BREITE STRAßE, CÄCILIASTRAßE, FRIEDRICH-SCHOLL-PLATZ, GÜTERBAHNSTRAßE, GUTSCHSTRAßE, HINTERM HAUPTBAHNHOF, KARL-HOFFMANN-STRAßE, KLOSESTRAßE, POSTSTRAßE, SCHNETZLERSTRAßE, SCHWARZWALDSTRAßE, VICTOR-GOLLANCZ-STRAßE"
05.05.2021,"BULACHER STRAßE, GEBHARDSTRAßE, GESCHWISTER-SCHOLL-STRAßE, HOHENZOLLERNSTRAßE, KAROLINENSTRAßE, KRONPRINZENSTRAßE, MARIE-ALEXANDRA-STRAßE, NEUBRUCHWEG, OSSIETZKYSTRAßE, WARTBURGSTRAßE"
07.05.2021,"ALBTALSTRAßE, ALEMANNENSTRAßE, EBERTSTRAßE, FRANKENSTRAßE, GRAF-RHENA-STRAßE, KAROLINGERSTRAßE, KURFÜRSTENSTRAßE, MICHAELSTRAßE, SALIERSTRAßE, WELFENSTRAßE"
11.05.2021,"BRAUERSTRAßE, LEIBNIZSTRAßE, SACHSENSTRAßE, SÜDENDSTRAßE, VINCENTIUSSTRAßE, VORHOLZSTRAßE"
17.05.2021,"BADENWERKSTRAßE AM FESTPLATZ, FRIEDENSTRAßE, GARTENSTRAßE, HERMANN-BILLING-STRAßE, OTTO-SACHS-STRAßE, REDTENBACHERSTRAßE"
19.05.2021,"BOECKHSTRAßE, BÜRKLINSTRAßE, JOLLYSTRAßE, KLAUPRECHTSTRAßE, LENZSTRAßE, NOKKSTRAßE, PUTLITZSTRAßE, ROONSTRAßE, SONNTAGSTRAßE"
21.05.2021,"ALTER BRAUHOF, AUGUST-DÜRR-STRAßE, AUGUSTASTRAßE, BEIERTHEIMER ALLEE, FESTPLATZ, KANTSTRAßE, MATHYSTRAßE, RENCKSTRAßE"
26.05.2021,"KARLSTRAßE, MARKGRAFENSTRAßE"
28.05.2021,"BARBAROSSAPLATZ, HIRSCHHOF, HIRSCHSTRAßE, RITTERSTRAßE"
01.06.2021,"AMALIENSTRAßE, BAISCHSTRAßE, BELFORTSTRAßE, LEOPOLDSTRAßE, VIKTORIASTRAßE"
07.06.2021,"AKADEMIESTRAßE, DOUGLASSTRAßE, HANS-THOMA-STRAßE, KAISERPASSAGE, KARLSHOF, PASSAGEHOF, STEPHANIENSTRAßE, WALDSTRAßE"
